employee_id,first_name,last_name,gender,birth_date,hire_date,department_id,job_level,employment_type,country,city,salary_clp
1,Emp0001,Gonzalez,M,,,9.0,IC1,Part-time,Chile,Concepcion,701800.0
2,Emp0002,Munoz,F,,,2.0,IC3,Full-time,Chile,Santiago,2257926.0
3,Emp0003,Silva,M,,,3.0,IC2,Full-time,Chile,Valparaiso,1625610.0
4,Emp0004,Soto,F,,,6.0,IC1,Full-time,Chile,Santiago,835012.0
5,Emp0005,Soto,M,,,5.0,M2,Full-time,Chile,Santiago,4555466.0
6,Emp0006,Munoz,M,,,5.0,IC3,Full-time,Chile,Concepcion,2366618.0
7,Emp0007,Gonzalez,M,,,4.0,M1,Full-time,Chile,Santiago,3079903.0
8,Emp0008,Silva,F,,,7.0,IC2,Full-time,Chile,Concepcion,2108366.0
9,Emp0009,Rojas,F,,,9.0,M2,Contractor,Chile,Santiago,4607440.0
10,Emp0010,Gonzalez,M,,,10.0,IC1,Full-time,Chile,Santiago,1382122.0
11,Emp0011,Diaz,M,,,5.0,IC1,Full-time,Chile,Concepcion,735947.0
12,Emp0012,Castillo,M,,,9.0,M1,Full-time,Chile,Santiago,2833790.0
13,Emp0013,Silva,F,,,7.0,M1,Contractor,Chile,Santiago,3315016.0
14,Emp0014,Munoz,F,,,2.0,IC2,Full-time,Chile,Santiago,2063714.0
15,Emp0015,Silva,M,,,8.0,IC1,Full-time,Chile,Santiago,847516.0
16,Emp0016,Munoz,F,,,4.0,IC2,Full-time,Chile,Concepcion,1635844.0
17,Emp0017,Diaz,F,,,7.0,IC3,Full-time,Chile,Santiago,1991226.0
18,Emp0018,Rojas,M,,,8.0,M1,Full-time,Chile,Santiago,3020344.0
19,Emp0019,Munoz,F,,,10.0,IC2,Full-time,Chile,Santiago,1648278.0
20,Emp0020,Soto,M,,,10.0,IC1,Full-time,Chile,Santiago,976847.0
21,Emp0021,Diaz,F,,,9.0,IC3,Full-time,Chile,Concepcion,1973619.0
22,Emp0022,Perez,M,,,6.0,IC3,Full-time,Chile,Concepcion,1968021.0
23,Emp0023,Rojas,M,,,5.0,IC2,Full-time,Chile,Santiago,1128498.0
24,Emp0024,Castillo,M,,,5.0,IC3,Full-time,Chile,Santiago,2419146.0
25,Emp0025,Munoz,F,,,10.0,M2,Part-time,Chile,Santiago,4649395.0
26,Emp0026,Silva,M,,,3.0,IC1,Contractor,Chile,Concepcion,1248138.0
27,Emp0027,Soto,M,,,6.0,IC3,Full-time,Chile,Santiago,2072706.0
28,Emp0028,Munoz,F,,,7.0,IC3,Full-time,Chile,Santiago,2551488.0
29,Emp0029,Diaz,F,,,1.0,IC2,Full-time,Chile,Santiago,1776695.0
30,Emp0030,Soto,F,,,7.0,M1,full time,Chile,Antofagasta,3201824.0
31,Emp0031,Soto,M,,,3.0,IC3,Full-time,Chile,Santiago,2260793.0
32,Emp0032,Rojas,M,,,3.0,IC2,Full-time,Chile,Santiago,1437721.0
33,Emp0033,Gonzalez,M,,,7.0,IC1,Full-time,Chile,Concepcion,1148040.0
34,Emp0034,Diaz,M,,,1.0,IC3,Full-time,Chile,Antofagasta,2704312.0
35,Emp0035,Castillo,M,,,2.0,IC1,Part-time,Chile,Santiago,1384464.0
36,Emp0036,Gonzalez,M,,,5.0,IC1,Full-time,Chile,Valparaiso,1035947.0
37,Emp0037,Munoz,F,,,6.0,IC2,Full-time,Chile,Santiago,1734655.0
38,Emp0038,Munoz,M,,,2.0,IC3,Full-time,Chile,Santiago,2024642.0
39,Emp0039,Perez,F,,,4.0,M2,Contractor,Chile,Santiago,4682517.0
40,Emp0040,Silva,M,,,4.0,IC3,Full-time,Chile,Valparaiso,2092286.0
41,Emp0041,Rojas,M,,,6.0,M1,Full-time,Chile,Valparaiso,3372564.0
42,Emp0042,Munoz,F,,,4.0,IC2,Full-time,Chile,Santiago,2342268.0
43,Emp0043,Silva,M,,,1.0,IC2,Full-time,Chile,Santiago,1457497.0
44,Emp0044,Perez,F,,,6.0,M2,Full-time,Chile,Valparaiso,5230701.0
45,Emp0045,Gonzalez,M,,,9.0,IC2,Full-time,Chile,Santiago,1722659.0
46,Emp0046,Castillo,M,,,6.0,M1,Part-time,Chile,Santiago,3012594.0
47,Emp0047,Soto,M,,,4.0,IC2,Part-time,Chile,Valparaiso,1401136.0
48,Emp0048,Castillo,F,,,5.0,IC1,Full-time,Chile,Santiago,1691239.0
49,Emp0049,Silva,F,,,2.0,IC3,Full-time,Chile,Santiago,2423247.0
50,Emp0050,Munoz,F,,,3.0,IC1,Full-time,Chile,Santiago,958462.0
51,Emp0051,Munoz,F,,,5.0,IC1,Full-time,Chile,Santiago,1049135.0
52,Emp0052,Rojas,F,,,6.0,IC1,Full-time,Chile,Santiago,1207694.0
53,Emp0053,Perez,F,,,5.0,IC1,Part-time,Chile,Valparaiso,1097820.0
54,Emp0054,Soto,M,,,10.0,IC2,Full-time,Chile,Concepcion,1686475.0
55,Emp0055,Soto,F,,,7.0,M1,Full-time,Chile,Santiago,3643403.0
56,Emp0056,Gonzalez,F,,,1.0,IC2,Part-time,Chile,Valparaiso,1318007.0
57,Emp0057,Diaz,M,,,6.0,M1,Part-time,Chile,Santiago,3361158.0
58,Emp0058,Rojas,M,,,6.0,IC3,Full-time,Chile,Concepcion,2281776.0
59,Emp0059,Silva,M,,,1.0,IC1,Full-time,Chile,Santiago,975239.0
60,Emp0060,Silva,M,,,4.0,IC1,Full-time,Chile,Santiago,1368044.0
61,Emp0061,Castillo,M,,,9.0,M1,Full-time,Chile,Santiago,2834644.0
62,Emp0062,Silva,M,,,4.0,IC3,Full-time,Chile,Santiago,1708392.0
63,Emp0063,Perez,M,,,5.0,M1,Full-time,Chile,Antofagasta,3256133.0
64,Emp0064,Castillo,M,,,3.0,IC2,Full-time,Chile,Santiago,1565455.0
65,Emp0065,Soto,F,,,1.0,IC3,Full-time,Chile,Santiago,1961788.0
66,Emp0066,Perez,F,,,4.0,IC3,Full-time,Chile,Santiago,1872362.0
67,Emp0067,Castillo,M,,,8.0,M2,Full-time,Chile,Santiago,4982658.0
68,Emp0068,Perez,F,,,10.0,IC1,Full-time,Chile,Santiago,1215754.0
69,Emp0069,Gonzalez,M,,,7.0,M2,Full-time,Chile,Santiago,4504911.0
70,Emp0070,Soto,F,,,9.0,IC2,Full-time,Chile,Santiago,2148811.0
71,Emp0071,Munoz,F,,,7.0,M1,Contractor,Chile,Concepcion,3455516.0
72,Emp0072,Rojas,F,,,7.0,IC2,Full-time,Chile,Santiago,2042319.0
73,Emp0073,Soto,M,,,5.0,IC3,Full-time,Chile,Santiago,2005012.0
74,Emp0074,Rojas,F,,,1.0,IC2,Full-time,Chile,Santiago,1295652.0
75,Emp0075,Silva,M,,,5.0,M1,Part-time,Chile,Concepcion,3354269.0
76,Emp0076,Soto,M,,,9.0,IC2,Full-time,Chile,Concepcion,1703625.0
77,Emp0077,Perez,F,,,6.0,IC2,Full-time,Chile,Santiago,1912416.0
78,Emp0078,Rojas,M,,,8.0,IC3,Part-time,Chile,Santiago,1892303.0
79,Emp0079,Diaz,F,,,1.0,IC3,Full-time,Chile,Santiago,2475899.0
80,Emp0080,Silva,F,,,3.0,IC2,Full-time,Chile,Santiago,1847317.0
81,Emp0081,Castillo,M,,,3.0,IC3,Full-time,Chile,Concepcion,2534043.0
82,Emp0082,Soto,M,,,4.0,IC2,Contractor,Chile,Concepcion,1498326.0
83,Emp0083,Rojas,F,,,10.0,IC3,Full-time,Chile,Santiago,2429654.0
84,Emp0084,Munoz,M,,,5.0,IC3,Full-time,Chile,Concepcion,2106086.0
85,Emp0085,Silva,F,,,7.0,IC3,Part-time,Chile,Valparaiso,2226763.0
